Country Name,corruption_perception_estimate,access_to_electricity_percent,co2_emissions_per_capita,mobile_cellular_subscriptions_per_100_people,agriculture_value_added_percent_gdp,industry_value_added_percent_gdp,gdp_growth_annual_percent,gdp_per_capita_usd,stability_of_government_estimate,health_expenditure_pct_gdp,child_mortality_rate,life_expectancy_at_birth,fertility_rate_total,population_65_plus_percent,population_total,urban_population_percent
Comoros,-1.24499189853668,89.9,0.38025001558401694,100.549,35.164324118156784,9.638798090273713,2.818395065626362,1533.877553321512,-0.226411357522011,8.3803854,36.8,66.481,3.935,4.45529065390536,834188.0,29.864000000000004
"Congo, Dem. Rep.",-1.54492211341858,21.5,0.0380089379208961,48.6774,17.735484791564282,47.77963307146143,8.924447850795175,642.6122671489175,-1.98448967933655,3.78614616,45.8,60.979,6.106,3.066046838418111,102396968.0,46.837
"Congo, Rep.",-1.35977947711945,50.6,1.2791163168024942,93.6259,8.041910694336302,49.24555236323116,1.4753561324713331,2620.838043047126,0.0389938205480576,2.1922454800000004,28.5,65.0,4.215,2.84985975386671,6035104.0,68.736
Costa Rica,0.465857774019241,100.0,1.5919665706698365,154.989,4.140073620995341,20.646438111551657,4.551491779583984,13625.90084914784,0.956596434116364,7.18368196,8.8,79.316,1.335,11.2620626162428,5081765.0,82.042
Cote d'Ivoire,-0.338705569505692,72.0,0.48571472375622804,161.232,16.584333209761567,23.044542347441613,6.399883627205313,2333.3712833447717,-0.587266504764557,3.6424129,47.9,61.562,4.349,2.5328210210349695,30395002.0,52.661
Croatia,0.147807404398918,100.0,4.523891098782278,114.677,3.393120137394705,20.06514956354682,7.287936432065649,18466.095547264755,0.672563254833221,7.21545315,3.8999999999999986,77.57560975609756,1.53,22.4847051223347,3855641.0,58.219
Cuba,-0.069265678524971,100.0,1.8849854699262734,68.71799999999999,0.8006722551031213,23.783235638365927,1.7750487982576715,10000.0,0.491417795419693,11.78683186,6.300000000000001,77.629,1.412,15.8758777267623,11059820.0,77.401
Curacao,0.6099343024194235,100.0,9.969264080122112,92.7325,0.2661750176140725,11.189059030199916,7.923000000000016,20501.75227822187,0.6221139401197433,8.596244050000001,5.219999999999999,76.729,1.3,15.7946418695996,149996.0,89.025
Cyprus,0.421445220708847,100.0,5.396921967597287,151.241,1.175794552747039,10.314473599827021,7.204867807438788,33894.44921875,0.42381122708320595,8.87060547,2.8000000000000007,80.434,1.393,14.0779422699926,1331370.0,66.911
Czechia,0.663074553012848,100.0,9.317035287653304,128.105,2.076349755002644,29.218573046432617,2.847170658381401,28282.22367158567,0.814114570617676,8.79904652,2.1999999999999993,78.92926829268293,1.64,20.5183106530339,10672118.0,74.377
Denmark,2.40263819694519,100.0,4.767291819448192,126.484,0.7895854867274661,20.83551839467077,1.5401730735789272,68091.31911386686,0.86891770362854,9.4758625,3.1000000000000014,81.3048780487805,1.5500000000000003,20.4007400764725,5903037.0,88.367
Djibouti,-0.793266594409943,65.0,0.6582557673230758,46.77709999999999,2.631017922476442,15.03087278027378,5.166537028543743,3133.257797724629,-0.507386088371277,2.4967501199999997,45.9,65.54,2.653,4.62735776047053,1137096.0,78.38
Dominica,0.539586186408997,100.0,1.1342890491724775,85.1899,12.943819957557348,12.606775368995466,10.39680766161213,9323.66089490562,1.30801045894623,6.31969738,32.7,71.081,1.482,12.585576081345,66826.0,71.7
Dominican Republic,-0.439807772636414,98.1,2.639560335059133,90.376,4.153719841887107,30.825542745173827,5.237956529025951,10104.244934908073,0.249287635087967,4.57254791,29.1,74.211,2.267,7.28713311557077,11230734.0,83.848
Ecuador,-0.63026487827301,100.0,2.3709854247923445,98.1309,7.393039923554625,29.583590541754237,5.868423548623113,6515.585284183364,-0.37122431397438005,7.53457022,11.2,76.577,1.861,7.85040162653543,17823897.0,64.57
"Egypt, Arab Rep.",-0.678962171077728,100.0,2.194677150461848,90.6795,10.9457535224737,32.711431431303794,6.587845608869671,4233.307837448563,-0.978700578212738,4.70438385,16.7,71.01,2.75,4.82840349955892,112618250.0,42.967
El Salvador,-0.642525255680084,100.0,1.2607639834855524,183.249,4.558752838081563,23.7319470400488,2.954615165498893,5074.602102218058,-0.35247483849525507,9.84079742,9.5,71.969,1.785,7.86163091397109,6280319.0,74.767
Equatorial Guinea,-1.60196936130524,67.0,2.307233808970666,49.538,2.4897830321452545,56.21099906178354,3.2235083165859777,7589.299649093813,-0.236288592219353,2.9135000699999996,50.9,63.355,4.17,3.5675017812142205,1803545.0,74.01
Eritrea,-1.28224623203278,53.4,0.19575021990369645,59.1248,18.340399913405452,27.859376063489123,3.79217088526766,1233.3025891717625,-0.957195043563843,3.87447667,26.4,67.789,3.7859999999999996,4.11604873165648,3409447.0,42.625
Estonia,1.54471278190613,100.0,9.332611725630914,152.271,2.435155581465258,23.33904868190031,0.060430516513093835,28451.14778251755,0.727880895137787,6.98701143,1.6999999999999993,77.84390243902439,1.41,20.6300461857585,1348840.0000000075,69.609
Eswatini,-0.726303339004517,82.3,1.109673587291013,121.492,7.5820560091282045,34.54093829768075,1.119590667755304,3889.652769591612,-0.210463792085648,7.2226615,44.6,63.028,2.801,4.01504122718824,1218917.0,24.576
Ethiopia,-0.433258950710297,55.4,0.13190727798292645,56.9643,37.64222683850348,22.717526959086666,5.321759884033781,1011.0733241346206,-2.07060623168945,2.8527457700000003,37.0,66.897,4.082,3.12441623217276,125384287.0,22.661
Faroe Islands,0.9074772894382468,100.0,0.03894153207113327,105.804,18.91316837371476,17.946787645858507,3.55602380418398,66139.3809716876,0.8537110686302178,9.738232994,5.799999999999997,82.94390243902441,2.0713,17.792671863139,53927.0,42.779
Fiji,0.388872087001801,92.0,2.326026568866092,111.749,12.711447204375242,15.707130921737228,19.792726688669923,5405.030061626714,0.748508632183075,4.00910091,23.5,67.148,2.305,6.20928148336672,919422.0000000075,58.229
Finland,2.24686503410339,100.0,6.507021284331149,128.023,2.241343678959926,25.18082927837376,0.7630419127635268,50440.56022497404,0.894830107688904,9.6589222,1.8000000000000007,81.1878048780488,1.32,23.2287672110978,5556106.0,85.681
France,1.25943613052368,100.0,4.561196379667293,115.951,1.763097194998183,16.19809183806043,2.570840475677926,41082.81193207471,0.39333921670913696,11.8819046,3.3999999999999986,82.12926829268294,1.79,21.3773491158756,68065015.0,81.509
French Polynesia,-0.2769824624061584,100.0,4.341638787636691,116.866,8.548395858195345,23.777636943306224,4.46637969963146,20738.649997166125,-0.2935891270637514,6.653209448,8.36,83.859,1.515,10.1726954325946,280378.0,62.17
Gabon,-1.04297661781311,93.5,2.219482323746568,123.233,6.295084988074116,55.6590964573237,3.0376144952569177,8409.207414522787,0.0603694021701813,2.8559153100000003,27.2,67.713,3.712,4.01133890116906,2430747.0,90.735
"Gambia, The",-0.275547713041306,65.4,0.23671803585855322,106.782,22.860438585973405,15.588969531624272,5.492998255089461,836.2448755826299,0.04397328197956091,3.4143583599999996,34.9,64.859,4.078,2.889792032528341,2636470.0,63.852
Georgia,0.620420038700104,100.0,3.40306887376761,154.014,6.632355201756794,21.329779714521,10.95853213856239,6729.846599302833,-0.43653005361557007,7.25569582,8.099999999999998,74.141,1.82,15.086921296037,3712502.0,60.297
Germany,1.81836342811584,100.0,7.870139120886976,124.158,1.0039581673558686,25.68688746411725,1.3697310461275833,49686.11545825826,0.628491878509521,12.60513115,3.1000000000000014,80.6080487804878,1.455,22.4589063795192,83797985.0,77.648
Ghana,-0.0643710345029831,85.1,0.7477928847169308,120.803,19.513638202715818,31.470050505778985,3.8048498095216416,2229.89122647803,-0.195024788379669,3.6993649,29.2,65.246,3.434,3.5615028704203304,33149152.0,58.615
Gibraltar,1.551137137413026,100.0,17.947831636044565,97.6043,1.5620566948950998,23.53097286271878,5.702444805714572,49368.477801604124,0.9566221594810476,9.723114110000001,2.84,83.517,1.895,17.3373748653931,37609.0,100.0
Greece,0.0375978611409664,100.0,5.263286487286146,109.027,3.753295609612093,16.69772345454579,5.743649025263366,20971.83492582833,0.10646377503871898,8.49983692,3.3000000000000007,80.78780487804879,1.32,23.2281742678017,10436882.0,80.357
Greenland,1.02909278869629,100.0,10.16219268985722,118.637,16.02589391385432,19.51188896460209,2.004555808656036,55635.00064912226,1.56980299949646,9.342217544,5.5600000000000005,71.54048780487807,1.818,9.57841062323073,56661.0,87.727
Grenada,0.484212607145309,94.2,1.157270791101075,95.7592,4.093903379687529,16.085447909506343,7.320740615518744,10535.45887714543,1.03362321853638,4.94846392,16.9,75.151,1.502,11.5213876985451,116913.0,36.86800000000001
Guam,1.27027237415314,100.0,0.002421600678047753,144.3298,2.4798949488538264,15.25803053868732,5.099864262167927,41833.15171328248,0.816113114356995,8.891706086000001,7.159999999999998,77.102,2.819,11.6412398595472,165180.0,95.091
Guatemala,-1.21014869213104,99.1,1.1193095963178141,115.156,9.082101904823077,22.63066127366923,4.184518087126051,5358.701274943964,-0.262850880622864,7.44098806,18.4,71.206,2.343,4.62989239560537,17847877.0,52.666
Guinea,-0.971789538860321,47.7,0.270989887896504,108.885,28.381973713968527,26.50293006865109,3.972407842007215,1416.5961201176433,-0.838682115077972,3.95847702,63.10000000000001,60.432,4.303,3.4310409069651904,14055137.0,37.668
Guinea-Bissau,-1.18545567989349,37.39999999999999,0.16931611960699655,125.935,38.66455312577423,12.84016384205592,5.585137280114736,873.4378618754272,-0.38594487309455905,8.11358356,44.3,63.605,3.911,3.09029227334318,2105529.0,45.041
Guyana,-0.295522034168243,93.0,4.043391424680243,112.565,10.029835921980824,67.82064166132254,63.3346343654855,17913.492806687907,0.0207335669547319,3.00636959,24.6,69.888,2.437,6.22245590205894,821637.0,27.022
Haiti,-1.45918750762939,49.3,0.29487275555160686,65.1889,20.275349314177173,29.341138031726743,-1.6819839689797789,1760.6263566877751,-1.4191986322403,3.20848918,41.5,63.948,2.699,4.54071966651153,11503606.0,58.82
